MatchFk,blue_p1,blue_p2,blue_p3,blue_p4,blue_p5,red_p1,red_p2,red_p3,red_p4,red_p5,result,rank_fk,rank_name,Patch
EUW1_7569088800,61,179,79,167,4,5,170,146,85,34,1,9,Grandmaster,15.20.719.545
EUW1_7569050524,5,151,171,176,118,125,126,49,63,15,0,9,Grandmaster,15.20.719.545
EUW1_7571519781,128,151,68,183,20,81,100,190,176,118,0,9,Grandmaster,15.20.719.545
EUW1_7571291610,31,170,111,85,34,5,56,138,183,93,0,9,Grandmaster,15.20.719.545
EUW1_7570964146,46,179,180,167,101,61,31,87,63,82,1,9,Grandmaster,15.20.719.545
EUW1_7570264218,31,116,51,171,118,28,131,167,96,122,1,9,Grandmaster,15.20.719.545
EUW1_7570061738,128,100,129,163,65,5,81,150,93,82,0,9,Grandmaster,15.20.719.545
EUW1_7569886090,75,17,171,187,86,61,135,68,59,6,0,9,Grandmaster,15.20.719.545
EUW1_7569847814,5,161,27,147,114,75,169,171,142,4,1,9,Grandmaster,15.20.719.545
EUW1_7569758080,153,179,170,160,132,139,44,67,142,103,0,9,Grandmaster,15.20.719.545
EUW1_7569074978,56,97,129,132,15,31,126,33,63,152,1,9,Grandmaster,15.20.719.545
EUW1_7569032877,0,126,93,9,154,174,81,146,59,86,1,9,Grandmaster,15.20.719.545
EUW1_7568865979,44,56,51,191,90,75,186,147,140,4,1,9,Grandmaster,15.20.719.545
EUW1_7568819422,162,135,142,187,65,110,34,67,10,133,0,9,Grandmaster,15.20.719.545
EUW1_7568794923,162,105,51,130,23,5,113,168,63,61,0,9,Grandmaster,15.20.719.545
EUW1_7570123648,5,34,180,63,115,125,81,84,87,152,0,9,Grandmaster,15.20.719.545
EUW1_7569387365,134,55,1,133,20,164,116,146,22,34,0,9,Grandmaster,15.20.719.545
EUW1_7569320154,43,179,146,22,114,127,81,105,188,103,0,9,Grandmaster,15.20.719.545
EUW1_7569112305,125,126,172,140,154,5,81,171,155,20,1,9,Grandmaster,15.20.719.545
EUW1_7569076655,125,150,155,140,122,46,179,190,63,82,1,9,Grandmaster,15.20.719.545
EUW1_7569006328,139,170,79,168,101,172,100,27,49,118,1,9,Grandmaster,15.20.719.545
EUW1_7567925412,139,37,180,187,122,181,179,147,142,143,0,9,Grandmaster,15.20.717.2831
EUW1_7567899298,172,173,155,63,101,56,174,2,183,103,0,9,Grandmaster,15.20.717.2831
EUW1_7564522360,51,81,146,130,190,42,108,172,155,4,0,9,Grandmaster,15.20.717.2831
EUW1_7564486205,5,34,147,155,122,28,135,65,106,4,0,9,Grandmaster,15.20.717.2831
EUW1_7564392405,139,186,68,191,152,142,33,71,96,53,0,9,Grandmaster,15.20.717.2831
EUW1_7563300288,5,81,186,66,101,125,179,146,59,133,1,9,Grandmaster,15.20.717.2831
EUW1_7561926057,125,121,2,63,104,112,81,190,106,118,1,9,Grandmaster,15.20.717.2831
EUW1_7561919585,5,146,68,176,118,125,29,155,9,154,0,9,Grandmaster,15.20.717.2831
EUW1_7571737708,2,34,27,183,190,182,100,13,93,122,1,9,Grandmaster,15.20.719.545
EUW1_7571676365,51,131,171,27,103,181,29,116,85,101,0,9,Grandmaster,15.20.719.545
EUW1_7571643528,163,179,180,49,122,5,52,67,63,118,1,9,Grandmaster,15.20.719.545
EUW1_7571609863,61,113,129,183,86,121,146,49,63,104,0,9,Grandmaster,15.20.719.545
EUW1_7571542511,5,47,111,183,146,28,170,147,140,113,1,9,Grandmaster,15.20.719.545
EUW1_7571490477,136,45,181,176,118,61,47,189,160,143,1,9,Grandmaster,15.20.719.545
EUW1_7571144081,49,100,51,140,4,127,179,89,63,23,1,9,Grandmaster,15.20.719.545
EUW1_7570795338,138,146,116,63,152,170,186,33,59,44,1,9,Grandmaster,15.20.719.545
EUW1_7570796591,136,31,159,59,135,98,35,151,160,103,0,9,Grandmaster,15.20.719.545
EUW1_7570785159,28,52,46,183,18,61,47,100,63,15,1,9,Grandmaster,15.20.719.545
EUW1_7570784589,128,81,171,58,154,112,121,49,183,53,1,9,Grandmaster,15.20.719.545
EUW1_7570773108,38,179,93,59,154,138,113,181,63,34,0,9,Grandmaster,15.20.719.545
EUW1_7570772504,57,55,33,142,18,44,179,2,183,94,1,9,Grandmaster,15.20.719.545
EUW1_7570750397,139,56,14,140,143,121,108,77,59,4,0,9,Grandmaster,15.20.719.545
EUW1_7571857860,40,186,111,32,143,162,151,12,93,101,0,9,Grandmaster,15.20.719.545
EUW1_7570955267,162,170,40,176,53,112,146,51,59,15,1,9,Grandmaster,15.20.719.545
