TeamID,MatchFk,B1Champ,B2Champ,B3Champ,B4Champ,B5Champ,R1Champ,R2Champ,R3Champ,R4Champ,R5Champ,BlueBaronKills,BlueRiftHeraldKills,BlueDragonKills,BlueTowerKills,BlueKills,RedBaronKills,RedRiftHeraldKills,RedDragonKills,RedTowerKills,RedKills,RedWin,BlueWin
163477,KR_8005431249,33,32,105,110,22,75,59,103,901,875,1,0,3,11,30,0,1,0,5,26,0,1
163478,KR_8005332485,21,103,113,777,904,81,110,106,4,1,0,0,0,9,37,0,0,0,0,15,0,1
163479,KR_8005300498,50,901,412,904,103,222,85,11,42,44,0,1,0,8,36,0,0,0,1,7,0,1
163480,KR_8005255531,122,888,904,45,887,42,69,5,3,78,0,0,0,11,37,0,0,0,0,14,0,1
163481,KR_8005234300,904,18,86,115,22,901,84,19,39,54,0,1,0,11,35,0,0,0,0,13,0,1
163482,KR_8005214162,31,875,904,82,103,115,69,106,38,888,0,1,1,8,27,0,0,0,0,16,0,1
163483,KR_8026379595,236,45,777,74,429,161,127,99,111,90,0,0,0,0,16,0,0,0,2,49,1,0
163484,KR_8025402171,78,113,895,8,804,268,38,91,103,516,0,0,0,4,49,0,0,0,2,40,0,1
163485,KR_8025378860,48,69,526,166,8,236,111,75,10,202,0,0,0,1,33,0,0,0,4,46,1,0
163486,KR_8025376191,101,136,67,106,50,145,51,75,518,22,0,0,0,1,46,0,0,0,1,39,0,1
163487,KR_8025329929,5,19,15,143,81,222,4,121,90,29,0,0,0,4,50,0,0,0,1,35,0,1
163488,KR_8025117929,68,427,37,111,90,103,236,523,81,30,0,0,0,4,38,0,0,0,1,36,0,1
163489,KR_8025031820,147,236,101,526,267,53,222,69,3,127,0,0,0,4,64,0,0,0,1,47,0,1
163490,KR_8024989161,21,17,119,99,53,43,76,81,517,36,0,0,0,2,45,0,0,0,4,50,1,0
163491,KR_8024946662,360,5,157,81,16,58,64,61,145,99,0,0,0,6,12,1,0,3,7,24,1,0
163492,KR_8024916021,22,63,55,53,203,111,90,61,110,202,0,0,0,4,53,0,0,0,2,43,0,1
163493,KR_8024894011,893,76,518,412,203,222,15,1,3,266,0,0,0,0,2,0,0,0,0,1,0,1
163494,KR_8024852095,518,59,161,44,412,145,202,222,25,555,0,0,0,4,56,0,0,0,0,47,0,1
163495,KR_8024777882,901,518,893,67,26,90,91,92,13,53,0,0,0,1,49,0,0,0,4,51,1,0
163496,KR_8023815677,51,101,122,412,99,107,89,11,4,202,0,0,0,4,52,0,0,0,1,35,0,1
163497,KR_8023791884,147,61,6,517,110,103,31,51,21,360,0,0,0,1,34,0,0,0,2,51,1,0
163498,KR_8023765963,134,3,526,804,84,55,777,429,203,901,0,0,0,2,51,0,0,0,4,53,1,0
163499,KR_8017143554,223,45,15,127,99,110,12,236,4,523,0,0,0,2,51,0,0,0,4,64,1,0
163500,KR_8017119013,25,901,34,22,223,145,57,99,96,131,0,0,0,0,33,0,0,0,4,48,1,0
163501,KR_8017089801,79,15,112,120,51,147,101,523,68,106,0,0,0,0,13,0,0,0,1,26,1,0
163502,KR_8024179673,8,67,18,157,412,25,54,901,80,143,0,0,0,4,61,0,0,0,2,67,0,1
163503,KR_8024119590,412,110,90,81,99,35,45,82,55,17,0,0,0,2,79,0,0,0,3,59,0,1
163504,KR_8024040260,350,89,18,5,497,110,202,34,64,267,0,0,0,1,33,0,0,0,4,53,1,0
163505,KR_8023986599,904,245,517,21,111,82,20,238,523,25,0,0,0,2,10,0,1,3,8,33,1,0
163506,KR_8011898671,51,13,145,161,57,14,133,412,18,17,0,0,0,4,44,0,0,0,0,35,0,1
163507,KR_8011867405,80,360,143,254,21,98,82,31,89,111,0,0,0,4,46,0,0,0,2,55,0,1
163508,KR_8011841976,105,202,111,131,91,21,56,154,126,412,0,0,0,0,15,0,0,0,1,27,1,0
163509,KR_8011813290,21,222,61,29,32,34,526,26,22,711,0,0,0,1,47,0,0,0,4,57,1,0
163510,KR_8010036686,83,113,145,9,110,147,133,62,498,107,0,0,0,0,13,0,0,0,1,28,1,0
163511,KR_8010002107,7,555,412,236,50,203,518,420,41,245,0,0,0,2,80,0,0,0,4,67,1,0
163512,KR_8003494065,7,145,59,36,236,82,51,115,897,134,0,0,0,4,63,0,0,0,4,65,0,1
163513,KR_8003454868,51,233,11,85,99,904,901,17,63,518,0,0,0,0,24,0,0,0,2,31,1,0
163514,KR_8003407424,145,101,76,498,59,147,26,7,523,497,0,0,0,0,75,0,0,0,4,70,1,0
163515,KR_8003372222,76,34,119,59,31,29,133,157,266,79,0,0,0,2,54,0,0,0,4,48,1,0
163516,KR_8003319472,518,99,45,81,40,555,202,21,54,804,0,0,0,1,60,0,0,0,4,67,1,0
163517,KR_7999299083,11,81,62,904,76,777,800,223,40,888,0,0,0,2,52,0,0,0,4,73,1,0
